Date,Open,High,Low,Close,Volume,OpenInt,Stock
4/3/2018,156.5500031,157.3899994,150.8099976,156.1100006,42543900,0,FB
4/4/2018,152.0299988,155.5599976,150.5099945,155.1000061,49885600,0,FB
4/5/2018,161.5599976,161.5700073,156.6499939,159.3399963,41449600,0,FB
4/6/2018,157.7299957,161.4199982,156.8099976,157.1999969,41644800,0,FB
4/9/2018,157.8200073,160.5299988,156.0399933,157.9299927,34915200,0,FB
4/10/2018,157.9299927,165.9799957,157.0099945,165.0399933,57889300,0,FB
4/11/2018,165.3600006,168.6499939,163.25,166.3200073,56144600,0,FB
4/12/2018,166.9799957,167.4499969,163.1000061,163.8699951,38263000,0,FB
4/13/2018,164.5800018,165.6999969,163.7700043,164.5200043,19990600,0,FB
4/16/2018,165.7200012,165.7799988,163.3899994,164.8300018,18119400,0,FB
4/17/2018,165.8300018,169,165.6600037,168.6600037,22743000,0,FB
4/18/2018,166.8800049,168.1199951,165.7700043,166.3600006,20969600,0,FB
4/19/2018,166.1999969,168.3300018,165.1999969,168.1000061,22235000,0,FB
4/20/2018,167.7899933,168.4299927,165.8099976,166.2799988,19119400,0,FB
4/23/2018,167.2700043,168.4499969,165.0899963,165.8399963,23088100,0,FB
4/24/2018,165.4299927,166.1000061,158.1900024,159.6900024,35079900,0,FB
4/25/2018,160.1399994,161.0599976,156.1900024,159.6900024,41083600,0,FB
4/26/2018,173.2200012,176.2700043,170.8000031,174.1600037,77556900,0,FB
4/27/2018,176.8099976,177.1000061,172.6000061,173.5899963,29804700,0,FB
4/30/2018,173.7899933,175.7200012,171.7100067,172,20750500,0,FB
5/1/2018,172,174.0200043,170.2299957,173.8600006,26025900,0,FB
5/2/2018,174.25,178.0800018,174.1999969,176.0700073,30424500,0,FB
5/3/2018,175.1300049,176.1199951,172.1199951,174.0200043,24026100,0,FB
5/4/2018,173.0800018,176.9799957,173.0599976,176.6100006,17677800,0,FB
5/7/2018,177.3500061,179.5,177.1699982,177.9700012,18697200,0,FB
5/8/2018,178.25,179.0399933,177.1100006,178.9199982,15577200,0,FB
5/9/2018,179.6699982,183.0099945,178.7799988,182.6600037,23282800,0,FB
5/10/2018,183.1499939,186.1300049,182.5,185.5299988,21071400,0,FB
5/11/2018,184.8500061,188.3200073,184.1799927,186.9900055,21207800,0,FB
5/14/2018,187.7100067,187.8600006,186.1999969,186.6399994,15646700,0,FB
5/15/2018,184.8800049,185.2899933,183.1999969,184.3200073,15429400,0,FB
5/16/2018,183.6999969,184.3200073,182.6600037,183.1999969,16975500,0,FB
5/17/2018,182.6799927,184.0599976,182.2200012,183.7599945,14840700,0,FB
5/18/2018,183.4900055,184.1900024,182.6100006,182.6799927,13130500,0,FB
5/21/2018,183.7700043,185.3000031,183.1300049,184.4900055,13532900,0,FB
5/22/2018,184.9299927,185.4199982,183.4299927,183.8000031,12731400,0,FB
5/23/2018,182.5,186.9100037,182.1799927,186.8999939,16628100,0,FB
5/24/2018,185.8800049,186.8000031,185.0299988,185.9299927,12354700,0,FB
5/25/2018,186.0200043,186.3300018,184.4499969,184.9199982,10965100,0,FB
5/29/2018,184.3399963,186.8099976,183.7100067,185.7400055,16398900,0,FB
5/30/2018,186.5399933,188,185.25,187.6699982,13736900,0,FB
5/31/2018,187.8699951,192.7200012,187.4799957,191.7799988,30782600,0,FB
6/1/2018,193.0700073,194.5500031,192.0700073,193.9900055,17307200,0,FB
6/4/2018,191.8399963,193.9799957,191.4700012,193.2799988,18939800,0,FB
6/5/2018,194.3000031,195,192.6199951,192.9400024,15544300,0,FB
6/6/2018,191.0299988,192.5299988,189.1100006,191.3399963,22558900,0,FB
6/7/2018,190.75,190.9700012,186.7700043,188.1799927,21503200,0,FB
6/8/2018,187.5299988,189.4799957,186.4299927,189.1000061,12677100,0,FB
6/11/2018,188.8099976,192.6000061,188.8000031,191.5399933,12928900,0,FB
6/12/2018,192.1699982,193.2799988,191.5599976,192.3999939,11562700,0,FB
6/13/2018,192.7400055,194.5,191.9100037,192.4100037,15853800,0,FB
6/14/2018,193.1000061,197.2799988,192.9100037,196.8099976,19120900,0,FB
6/15/2018,195.7899933,197.0700073,194.6399994,195.8500061,21860900,0,FB
6/18/2018,194.8000031,199.5800018,194.1300049,198.3099976,16826000,0,FB
6/19/2018,196.2400055,197.9600067,193.7899933,197.4900055,19994000,0,FB
6/20/2018,199.1000061,203.5500031,198.8099976,202,28230900,0,FB
6/21/2018,202.7599945,203.3899994,200.0899963,201.5,19045700,0,FB
6/22/2018,201.1600037,202.2400055,199.3099976,201.7400055,17420200,0,FB
6/25/2018,200,200,193.1100006,196.3500061,25275100,0,FB
6/26/2018,197.6000061,199.1000061,196.2299957,199,17897600,0,FB
6/27/2018,199.1799927,200.75,195.8000031,195.8399963,18734400,0,FB
6/28/2018,195.1799927,197.3399963,193.2599945,196.2299957,18172400,0,FB
6/29/2018,197.3200073,197.6000061,193.9600067,194.3200073,15811600,0,FB
7/2/2018,193.3699951,197.4499969,192.2200012,197.3600006,13961600,0,FB
7/3/2018,194.5500031,195.3999939,192.5200043,192.7299957,13489500,0,FB
7/5/2018,194.7400055,198.6499939,194.0299988,198.4499969,19684200,0,FB
7/6/2018,198.4499969,203.6399994,197.6999969,203.2299957,19740100,0,FB
7/9/2018,204.9299927,205.8000031,202.1199951,204.7400055,18149400,0,FB
7/10/2018,204.5,204.9100037,202.2599945,203.5399933,13190100,0,FB
7/11/2018,202.2200012,204.5,201.75,202.5399933,12927400,0,FB
7/12/2018,203.4299927,207.0800018,203.1900024,206.9199982,15454700,0,FB
7/13/2018,207.8099976,208.4299927,206.4499969,207.3200073,11486800,0,FB
7/16/2018,207.5,208.7200012,206.8399963,207.2299957,11078200,0,FB
7/17/2018,204.8999939,210.4600067,204.8399963,209.9900055,15349900,0,FB
7/18/2018,209.8200073,210.9900055,208.4400024,209.3600006,15334900,0,FB
7/19/2018,208.7700043,209.9900055,207.7599945,208.0899963,11350400,0,FB
7/20/2018,208.8500061,211.5,208.5,209.9400024,16163900,0,FB
7/23/2018,210.5800018,211.6199951,208.8000031,210.9100037,16732000,0,FB
7/24/2018,215.1100006,216.1999969,212.6000061,214.6699982,28468700,0,FB
7/25/2018,215.7200012,218.6199951,214.2700043,217.5,58954200,0,FB
7/26/2018,174.8899994,180.1300049,173.75,176.2599945,169803700,0,FB
7/27/2018,179.8699951,179.9299927,173,174.8899994,60073700,0,FB
7/30/2018,175.3000031,175.3000031,166.5599976,171.0599976,65280800,0,FB
7/31/2018,170.6699982,174.2400055,170,172.5800018,40356500,0,FB
8/1/2018,173.9299927,175.0800018,170.8999939,171.6499939,34042100,0,FB
8/2/2018,170.6799927,176.7899933,170.2700043,176.3699951,32400000,0,FB
8/3/2018,177.6900024,178.8500061,176.1499939,177.7799988,24763400,0,FB
8/6/2018,178.9700012,185.7899933,178.3800049,185.6900024,49716200,0,FB
8/7/2018,186.5,188.3000031,183.7200012,183.8099976,33398600,0,FB
8/8/2018,184.75,186.8500061,183.7599945,185.1799927,22205200,0,FB
8/9/2018,185.8500061,186.5700073,182.4799957,183.0899963,19732100,0,FB
8/10/2018,182.0399933,182.1000061,179.4199982,180.2599945,21500400,0,FB
8/13/2018,180.1000061,182.6100006,178.8999939,180.0500031,17423300,0,FB
8/14/2018,180.7100067,181.9900055,178.6199951,181.1100006,19102000,0,FB
8/15/2018,179.3399963,180.8699951,174.7799988,179.5299988,33020200,0,FB
8/16/2018,180.4199982,180.5,174.0099945,174.6999969,31351800,0,FB
8/17/2018,174.5,176.2200012,172.0399933,173.8000031,24893200,0,FB
8/20/2018,174.0399933,174.5700073,170.9100037,172.5,21518000,0,FB
8/21/2018,172.8099976,174.1699982,171.3899994,172.6199951,19578500,0,FB
8/22/2018,172.2100067,174.2400055,172.1300049,173.6399994,16894100,0,FB
8/23/2018,173.0899963,175.5500031,172.8300018,172.8999939,18053600,0,FB
8/24/2018,173.6999969,174.8200073,172.9199982,174.6499939,14631600,0,FB
8/27/2018,175.9900055,178.6699982,175.7899933,177.4600067,17921900,0,FB
8/28/2018,178.1000061,178.2400055,175.8300018,176.2599945,15910700,0,FB
8/29/2018,176.3000031,176.7899933,174.75,175.8999939,18494100,0,FB
8/30/2018,175.8999939,179.7899933,175.6999969,177.6399994,24216500,0,FB
8/31/2018,177.1499939,177.6199951,174.9799957,175.7299957,18065200,0,FB
9/4/2018,173.5,173.8899994,168.8000031,171.1600037,29809000,0,FB
9/5/2018,169.4900055,171.1300049,166.6699982,167.1799927,31226700,0,FB
9/6/2018,166.9799957,166.9799957,160,162.5299988,41514800,0,FB
9/7/2018,160.3099976,164.6300049,160.1600037,163.0399933,24300600,0,FB
9/10/2018,163.5099945,165.0099945,162.1600037,164.1799927,20197700,0,FB
9/11/2018,163.9400024,167.1900024,163.7200012,165.9400024,20457100,0,FB
9/12/2018,163.25,164.4900055,161.8000031,162,24078100,0,FB
9/13/2018,162,163.3200073,160.8600006,161.3600006,25453800,0,FB
9/14/2018,161.7200012,162.8399963,160.3399963,162.3200073,21770400,0,FB
9/17/2018,161.9199982,162.0599976,159.7700043,160.5800018,21005300,0,FB
9/18/2018,159.3899994,161.7599945,158.8699951,160.3000031,22465200,0,FB
9/19/2018,160.0800018,163.4400024,159.4799957,163.0599976,19629000,0,FB
9/20/2018,164.5,166.4499969,164.4700012,166.0200043,18936000,0,FB
9/21/2018,166.6399994,167.25,162.8099976,162.9299927,45994800,0,FB
9/24/2018,161.0299988,165.6999969,160.8800049,165.4100037,19222800,0,FB
9/25/2018,161.9900055,165.5899963,161.1499939,164.9100037,27622800,0,FB
9/26/2018,164.3000031,169.3000031,164.2100067,166.9499969,25252200,0,FB
9/27/2018,167.5500031,171.7700043,167.2100067,168.8399963,27266900,0,FB
9/28/2018,168.3300018,168.7899933,162.5599976,164.4600067,34265600,0,FB
10/1/2018,163.0299988,165.8800049,161.2599945,162.4400024,26407700,0,FB
10/2/2018,161.5800018,162.2799988,158.6699982,159.3300018,36031000,0,FB
10/3/2018,160,163.6600037,159.5299988,162.4299927,23109500,0,FB
10/4/2018,161.4600067,161.4600067,157.3500061,158.8500061,25739600,0,FB
10/5/2018,159.2100067,160.8999939,156.1999969,157.3300018,25744000,0,FB
10/8/2018,155.5399933,158.3399963,154.3899994,157.25,24046000,0,FB
10/9/2018,157.6900024,160.5899963,157.4199982,157.8999939,18844400,0,FB
10/10/2018,156.8200073,157.6900024,151.3099976,151.3800049,30610000,0,FB
10/11/2018,150.1300049,154.8099976,149.1600037,153.3500061,35338900,0,FB
10/12/2018,156.7299957,156.8899994,151.3000031,153.7400055,25293500,0,FB
10/15/2018,153.3200073,155.5700073,152.5500031,153.5200043,15433500,0,FB
10/16/2018,155.3999939,159.4600067,155.0099945,158.7799988,19180100,0,FB
10/17/2018,159.5599976,160.4900055,157.9499969,159.4199982,17592000,0,FB
